iter	Passed	Remaining
0	0	33
1	1	70
2	1	56
3	1	46
4	2	42
5	2	40
6	2	38
7	3	35
8	3	34
9	3	32
10	3	31
11	4	30
12	4	29
13	4	29
14	5	29
15	5	29
16	5	29
17	6	28
18	6	28
19	7	28
20	7	27
21	7	27
22	8	26
23	8	26
24	8	26
25	8	25
26	9	25
27	9	24
28	9	24
29	10	24
30	10	23
31	10	23
32	11	22
33	11	22
34	11	22
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	13	19
41	13	19
42	14	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	18	15
54	18	14
55	18	14
56	18	14
57	19	14
58	19	13
59	20	13
60	20	13
61	20	12
62	21	12
63	21	12
64	22	11
65	22	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	32	3
89	32	3
90	33	3
91	33	2
92	34	2
93	34	2
94	35	1
95	35	1
96	35	1
97	36	0
98	36	0
99	37	0
