iter	Passed	Remaining
0	63	63396
1	64	31944
2	64	21443
3	65	16223
4	65	13059
5	66	10986
6	66	9469
7	67	8331
8	67	7443
9	68	6763
10	68	6188
11	69	5717
12	69	5303
13	70	4953
14	70	4656
15	71	4392
16	72	4166
17	72	3953
18	72	3765
19	73	3600
20	73	3446
21	76	3380
22	76	3266
23	77	3152
24	78	3048
25	78	2950
26	79	2859
27	79	2776
28	80	2695
29	81	2623
30	81	2562
31	82	2496
32	83	2440
33	83	2381
34	84	2325
35	84	2271
36	85	2221
37	85	2174
38	86	2129
39	86	2085
40	87	2042
41	87	2002
42	88	1967
43	89	1938
44	89	1903
45	90	1873
46	90	1843
47	91	1817
48	92	1788
49	92	1758
50	92	1729
51	93	1703
52	93	1679
53	94	1655
54	94	1631
55	95	1610
56	96	1589
57	96	1568
58	97	1547
59	97	1528
60	98	1510
61	98	1492
62	99	1474
63	99	1458
64	100	1442
65	100	1426
66	101	1412
67	102	1398
68	102	1384
69	103	1373
70	104	1363
71	104	1349
72	105	1337
73	105	1325
74	106	1312
75	107	1305
76	107	1294
77	108	1281
78	108	1270
79	109	1260
80	110	1250
81	111	1242
82	111	1230
83	112	1222
84	112	1212
85	113	1203
86	113	1194
87	114	1184
88	114	1176
89	115	1168
90	115	1158
91	116	1150
92	117	1142
93	117	1135
94	118	1126
95	118	1120
96	119	1113
97	120	1107
98	120	1098
99	121	1090
100	121	1083
101	122	1076
102	122	1070
103	123	1064
104	124	1058
105	124	1050
106	125	1043
107	125	1037
108	126	1031
109	126	1024
110	127	1018
111	127	1011
112	128	1005
113	128	999
114	129	993
115	130	991
116	130	984
117	131	983
118	131	976
119	132	970
120	132	964
121	133	959
122	133	955
123	135	954
124	135	949
125	136	945
126	136	939
127	137	934
128	137	929
129	138	924
130	138	919
131	139	914
132	139	909
133	140	905
134	140	901
135	141	897
136	141	892
137	142	888
138	142	884
139	143	880
140	143	875
141	144	870
142	144	868
143	145	866
144	146	862
145	146	859
146	147	855
147	147	850
148	148	847
149	149	844
150	150	843
151	151	842
152	151	839
153	152	836
154	153	834
155	153	831
156	154	828
157	154	825
158	155	823
159	156	820
160	156	816
161	157	813
162	157	810
163	158	807
164	159	805
165	159	803
166	160	800
167	161	797
168	161	795
169	162	792
170	162	790
171	163	787
172	164	787
173	165	786
174	166	785
175	167	784
176	168	782
177	169	780
178	169	778
179	170	777
180	171	774
181	171	772
182	172	770
183	173	767
184	173	765
185	174	762
186	174	759
187	175	757
188	175	754
189	176	752
190	176	749
191	177	746
192	178	745
193	178	743
194	179	741
195	180	740
196	181	739
197	182	737
198	183	737
199	184	737
200	185	736
201	185	734
202	186	731
203	187	729
204	187	727
205	188	726
206	189	724
207	189	721
208	190	719
209	190	717
210	191	716
211	192	714
212	192	712
213	193	711
214	195	713
215	196	713
216	197	712
217	198	710
218	199	712
219	200	710
220	201	708
221	201	706
222	202	705
223	202	702
224	203	700
225	203	698
226	204	696
227	205	694
228	205	692
229	206	690
230	206	688
231	207	686
232	208	684
233	208	682
234	209	680
235	209	679
236	211	681
237	212	681
238	213	679
239	214	677
240	214	675
241	215	674
242	215	672
243	216	670
244	216	668
245	217	666
246	217	664
247	218	662
248	219	660
249	219	658
250	220	656
251	220	654
252	220	652
253	221	650
254	221	648
255	222	646
256	222	644
257	223	642
258	224	641
259	224	639
260	225	637
261	225	635
262	225	633
263	227	634
264	228	633
265	228	631
266	229	630
267	230	628
